Info 148  [23:16:32.968] getSymbolsFromOtherSourceFileExports: Using cached list
Info 149  [23:16:32.971] getCompletionData: Semantic work: 8
Info 150  [23:16:32.975] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 4
Info 151  [23:16:32.990] getCompletionData: Get current token: 0
Info 152  [23:16:32.991] getCompletionData: Is inside comment: 0
Info 153  [23:16:32.991] getCompletionData: Get previous token 1: 0
Info 154  [23:16:32.991] getCompletionData: Get previous token 2: 0
Info 155  [23:16:32.991] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 156  [23:16:32.997] getSymbolsFromOtherSourceFileExports: Using cached list
Info 157  [23:16:33.0] getCompletionData: Semantic work: 9
Info 158  [23:16:33.20] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 20
Info 159  [23:16:33.30] getCompletionData: Get current token: 1
Info 160  [23:16:33.39] getCompletionData: Is inside comment: 0
Info 161  [23:16:33.40] getCompletionData: Get previous token 1: 0
Info 162  [23:16:33.40] getCompletionData: Get previous token 2: 0
Info 163  [23:16:33.40] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 164  [23:16:33.45] getSymbolsFromOtherSourceFileExports: Using cached list
Info 165  [23:16:33.47] getCompletionData: Semantic work: 7
Info 166  [23:16:33.55] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 8
Info 167  [23:16:33.64] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 168  [23:16:33.171] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false Elapsed: 107ms
Info 169  [23:16:33.171] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 170  [23:16:33.172] getCompletionData: Get current token: 0
Info 171  [23:16:33.172] getCompletionData: Is inside comment: 0
Info 172  [23:16:33.172] getCompletionData: Get previous token 1: 0
Info 173  [23:16:33.172] getCompletionData: Get previous token 2: 0
Info 174  [23:16:33.172] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 175  [23:16:33.175] getSymbolsFromOtherSourceFileExports: Using cached list
Info 176  [23:16:33.180] getCompletionData: Semantic work: 8
Info 177  [23:16:33.185] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 5
Info 178  [23:16:33.191] getCompletionData: Get current token: 0
Info 179  [23:16:33.191] getCompletionData: Is inside comment: 0
Info 180  [23:16:33.191] getCompletionData: Get previous token 1: 0
Info 181  [23:16:33.191] getCompletionData: Get previous token 2: 0
Info 182  [23:16:33.191] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 183  [23:16:33.193] getSymbolsFromOtherSourceFileExports: Using cached list
Info 184  [23:16:33.194] getCompletionData: Semantic work: 3
Info 185  [23:16:33.199] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 5
Info 186  [23:16:33.203] getCompletionData: Get current token: 0
Info 187  [23:16:33.203] getCompletionData: Is inside comment: 0
Info 188  [23:16:33.203] getCompletionData: Get previous token 1: 0
Info 189  [23:16:33.203] getCompletionData: Get previous token 2: 0
Info 190  [23:16:33.203] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 191  [23:16:33.206] getSymbolsFromOtherSourceFileExports: Using cached list
Info 192  [23:16:33.207] getCompletionData: Semantic work: 4
Info 193  [23:16:33.211] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 4
Info 194  [23:16:33.217] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 195  [23:16:33.298] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false Elapsed: 81ms
Info 196  [23:16:33.298] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 197  [23:16:33.299] getCompletionData: Get current token: 0
Info 198  [23:16:33.299] getCompletionData: Is inside comment: 0
Info 199  [23:16:33.299] getCompletionData: Get previous token 1: 0
Info 200  [23:16:33.299] getCompletionData: Get previous token 2: 0
Info 201  [23:16:33.299] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 202  [23:16:33.304] getSymbolsFromOtherSourceFileExports: Using cached list
Info 203  [23:16:33.306] getCompletionData: Semantic work: 7
Info 204  [23:16:33.311] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 5
Info 205  [23:16:34.282] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 206  [23:16:34.329] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false Elapsed: 47ms
